matchID,date,group,age,species,individual,GPS_id,ACC_id,harness_type,flight,heure.UTC.release.first,TAKE.OFF.Heure.UTC.GPS,LANDING.Heure.UTC.GPS,heure.UTC.GROUND,heure.UTC.perch,Notes
27/06/2018_GREGOIRE_4,27/06/2018,together,OLD,VF,GREGOIRE,4,4,LegLoop,1,11:24:40,11:25:03.50,11:51:03.50,11:51:07,?,
27/06/2018_GREGOIRE_4,27/06/2018,1,OLD,VF,GREGOIRE,4,4,LegLoop,2,12:52:54,12:53:03.50,13:20:09.25,13:20:12,NA,
27/06/2018_GREGOIRE_4,27/06/2018,1,OLD,VF,GREGOIRE,4,4,LegLoop,3,14:22:10,14:22:05.50,14:43:26.25,14:43:28,14:44:10,
27/06/2018_HENRI_3,27/06/2018,together,OLD,VF,HENRI,3,3,BackPack,1,11:24:28,11:24:26.75,11:40:32.75,11:40:35,11:41:18,
27/06/2018_HENRI_3,27/06/2018,1,OLD,VF,HENRI,3,3,BackPack,2,12:52:55,12:52:42.75,13:06:13.50,13:06:15,?,
27/06/2018_HENRI_3,27/06/2018,1,OLD,VF,HENRI,3,3,BackPack,3,14:22:10,14:22:01.25,14:32:26.75,14:32:40,NA,
27/06/2018_HERCULE_180089,27/06/2018,together,young,VF,HERCULE,180089,180089,LegLoop,1,11:26:36,NA,NA,?,?,
27/06/2018_HERCULE_180089,27/06/2018,2,young,VF,HERCULE,180089,180089,LegLoop,2,12:55:45,NA,NA,?,NA,
27/06/2018_HERCULE_180089,27/06/2018,2,young,VF,HERCULE,180089,180089,LegLoop,3,14:26:20,NA,NA,14:30:29,NA,
27/06/2018_KHAN_10,27/06/2018,1,OLD,RAV,KHAN,10,10,LegLoop,3,14:21:22,GPS LOST,GPS LOST,14:31:50,NA,
27/06/2018_KIRIKOU_5,27/06/2018,together,young,RUPPEL,KIRIKOU,5,5,BackPack,1,11:26:13,11:26:14.00,11:56:01.25,11:56:01,11:57:01,
27/06/2018_KIRIKOU_5,27/06/2018,2,young,RUPPEL,KIRIKOU,5,5,BackPack,2,12:57:14,12:57:15.75,13:08:48.00,13:08:59,NA,
27/06/2018_KIRIKOU_5,27/06/2018,2,young,RUPPEL,KIRIKOU,5,5,BackPack,3,14:25:20,14:25:21.00,14:32:20.50,14:32:21,NA,
27/06/2018_KLEA_Z,27/06/2018,together,NA,Black Kite,KLEA,Z,Z,LegLoop,1,11:16:20,362052,420402,?,?,
27/06/2018_KLEA_Z,27/06/2018,NA,NA,Black Kite,KLEA,Z,Z,LegLoop,2,12:45:00,NA,NA,13:20:00,NA,
27/06/2018_KUZCO_14,27/06/2018,together,OLD,CONDOR,KUZCO,14,2,BackPack,1,11:23:14,11:27:22.00,11:27:27.50,?,11:28:00,
27/06/2018_KUZCO_14,27/06/2018,1,OLD,CONDOR,KUZCO,14,2,BackPack,2,12:51:26,12:51:43.00,13:06:06.75,13:06:08,NA,
27/06/2018_LAFAYETTE_180088,27/06/2018,together,young,PYGTB,LAFAYETTE,180088,180088,BackPack,1,11:38:53,NA,NA,11:42:00,?,
27/06/2018_LAFAYETTE_180088,27/06/2018,2,young,PYGTB,LAFAYETTE,180088,180088,BackPack,3,14:36:28,NA,NA,14:40:49,NA,
27/06/2018_LEON_180066,27/06/2018,together,young,VF,LEON,180066,180066,LegLoop,1,11:25:25,NA,NA,11:51:07,?,
27/06/2018_LEON_180066,27/06/2018,2,young,VF,LEON,180066,180066,LegLoop,2,12:55:03,NA,NA,13:04:11,NA,
27/06/2018_LEON_180066,27/06/2018,2,young,VF,LEON,180066,180066,LegLoop,3,14:25:20,NA,NA,14:31:50,NA,
27/06/2018_MANU_10,27/06/2018,together,OLD,RAV,MANU,10,10,BackPack,1,11:24:20,GPS LOST,GPS LOST,13:36:55,?,
28/06/2018_GAELLE_G,28/06/2018,together,young,VH,GAELLE,G,G,Tail,1,11:24:17,172277,213527,11:51:45,11:52:17,
28/06/2018_GAELLE_G,28/06/2018,1,young,VH,GAELLE,G,G,Tail,2,12:49:38,300477,331777,13:10:35,NA,
28/06/2018_GAELLE_G,28/06/2018,1,young,VH,GAELLE,G,G,Tail,3,14:19:40,435252,484927,14:52:41,14:53:17,
28/06/2018_GISELE_13,28/06/2018,together,old,VH,GISELE,13,7,LegLoop,1,11:23:04,11:22:58.00,11:55:54.75,11:56:00,11:56:47,
28/06/2018_GISELE_13,28/06/2018,2,old,VH,GISELE,13,7,LegLoop,2,12:53:02,12:53:13.75,13:27:33.75,13:27:32,NA,
28/06/2018_GISELE_13,28/06/2018,2,old,VH,GISELE,13,7,LegLoop,3,14:23:03,14:23:04.00,14:55:10.00,14:55:11,NA,
28/06/2018_GREGOIRE_3,28/06/2018,together,old,VF,GREGOIRE,3,3,LegLoop,1,11:23:17,11:23:16.50,11:51:02.25,11:51:00,NA,
